0019,1124,0592
0905,3591,8690
4162,5766,9514
8060,4939,0023
5371,5472,3489
6917,9058,0689
1765,7819,7323
9429,4624,8724
2719,8619,1121
9815,9594,0408
3051,1234,9039
3876,9285,8726
7450,8356,4274
1672,4804,0953
3348,4681,5559
8507,3040,5886
8200,8500,1925
5409,7926,5569
6440,7312,2448
2277,1070,5745
8800,6987,8115
3722,3697,5286
3343,9500,0651
1265,3746,9464
3322,2179,0164
7988,9072,9371
2187,8093,6369
2747,9184,2972
7829,3893,5543
0808,3904,6677
3759,9205,5411
8467,0829,3595
8114,4061,8145
2970,6115,1835
2843,3478,9657
9272,1628,9516
6346,2409,5855
8679,0358,7641
2282,0696,6519
2281,3683,0717
1715,0908,8147
2138,4534,2655
4887,6517,6219
5592,6130,1566
1269,8281,4385
2330,5688,0523
8444,2081,2407
4766,3766,0416
3666,1281,3797
7587,2822,5002
3237,1540,7078
9244,3176,4174
8264,2383,0790
8095,8601,1154
3859,3673,8533
6421,6033,3347
1885,7458,0315
9480,3682,9223
6846,1707,1573
8642,1639,7107
5117,8471,8826
3354,5481,1199
4994,1275,7887
0753,2700,9616
6706,2055,6342
2649,3573,1825
2837,5357,9634
4296,7999,3865
7461,1514,1532
6536,2883,4976
6460,7402,1408
3680,3569,9746
7942,1251,0794
7817,5672,7020
0063,8224,3309
9200,6116,3757
8997,7829,3023
6616,3463,4331
7207,4678,0119
6825,8206,9852
1367,9113,9992
0109,7617,2392
0711,4255,4153
8333,1439,0647
9410,6805,1449
3826,4064,4121
4293,9186,6214
0668,9049,9605
5078,9627,1351
5393,5913,9341
1409,7202,0011
0448,0357,1042
8048,7125,4813
1038,9595,5756
6098,3306,0625
5954,1218,3491
3548,4522,9887
2965,2504,1062
6714,9071,2305
0380,7181,3423
9811,1705,9379
1138,9385,3115
8716,6227,6441
3859,3882,0584
1856,7621,5066
9482,3927,1682
0372,1258,3861
0361,1553,8701
9846,4487,4848
5025,9339,8132
6966,5803,3928
3175,2392,0220
6318,3108,5239
0368,4142,7780
9915,3326,1970
3984,0086,3794
3360,0061,3871
8177,3560,9605
6294,7024,8973
3840,2667,0292
4751,6088,9598
9460,9046,5193
4814,6816,1842
8519,9164,1078
8093,6154,3844
5632,2091,0207
1709,8096,7273
4506,5836,5441
6123,4651,5731
1821,4348,9582
1381,0012,2411
9443,0899,1010
6326,7367,4778
4087,5471,7403
0475,1261,6157
3420,3507,6738
2256,7606,3623
1518,1000,3067
8845,5229,1619
6756,5592,1994
5857,3015,2676
7687,2713,5892
4310,5539,2030
6554,7524,4177
5892,3636,5735
1690,5618,7727
3681,5499,0237
0918,0522,0970
8249,1910,5766
3832,9664,7312
9336,9893,9351
4328,4542,5316
7856,4721,3262
8714,1634,5369
1458,2922,3006
8627,4278,6020
6605,4469,2371
9214,8159,9197
7011,8313,8254
5773,8016,2249
4258,1202,0506
1819,6329,8163
1634,5962,1023
5060,7233,5534
9365,7856,9954
5014,2379,5196
5246,9602,5389
1481,6013,1319
0285,7523,4999
